"team","two_pp","thr_pp","mis_p","oreb_p","sf_p","ft_p","tov_p","avg_poss","total"
"North Dakota State Bison",0.288059249635903,0.117096279666492,0.447564073258119,0.255435501566506,0.125006582454391,0.739897503258677,0.166053853995814,67.1862985842671,114.378003901072
"North Florida Ospreys",0.211758880886451,0.174858447213391,0.485397381154959,0.246990528338978,0.122593924079413,0.76082688920299,0.163125801180241,68.7650300925298,115.773443451446
"North Greenville Crusaders",0.181227858336507,0.118118828348118,0.52760127668401,0.136383182035356,0.07830258796784,0.600136705399863,0.180595873524694,76.997202819755,108.584642486117
"North Park Vikings",0.201575062285152,0.143982187346537,0.475141218243572,0.416666666666667,0.115185749877229,0.5625,0.287964374693074,69.4530357142857,122.384859244556
"North Texas Mean Green",0.256382237398544,0.133983463242512,0.510499716227509,0.340365924596454,0.13237458284389,0.749808339471791,0.17894397711282,62.3742404142962,121.218397682528
"North Texas-Dallas Trailblazers",0.156620995232032,0.0841899679917448,0.533896659281485,0.238716449242765,0.15135640657615,0.65,0.232299936181973,67.6474657696989,115.836396526338
"Northeastern Huskies",0.29459031428329,0.0991667948871687,0.4703761310467,0.317583876682314,0.127313915639386,0.731947367247837,0.192615190273657,64.5337354260471,118.40623461302
"Northern Arizona Lumberjacks",0.273392521076746,0.0929870457164707,0.470535937463722,0.238061394175875,0.129878859423677,0.679510260870089,0.183813748968891,68.2618678779525,115.060811264951
"Northern Colorado Bears",0.307994097005234,0.109163279018001,0.438958442883763,0.2371933649667,0.124262577380422,0.745448471009973,0.156992057403977,70.7577218333756,113.73704536914
"Northern Illinois Huskies",0.265683995087954,0.105541082157481,0.470458811794748,0.28582683900812,0.15178055678533,0.669715551763519,0.183401902035614,69.3044572483052,117.686634786113
"Northern Iowa Panthers",0.273081475746766,0.107447874521544,0.456159165624539,0.237924465888629,0.158359838237316,0.703553543428338,0.154056725841165,66.945289878918,114.910507997133
"Northern Kentucky Norse",0.29280189141184,0.0905870286398151,0.461254135164341,0.292912736965854,0.150722470528946,0.719780748959433,0.178233975030208,69.5406127643567,117.359950077515
"Northern New Mexico",0.195222765227817,0.10821395017875,0.590770784639385,0.278687895769284,0.103849949232786,0.719951923076923,0.218026322874571,70.8182271309336,121.608377215331
"Northern Vermont - Johnson Badgers",0.280091269609182,0.0430371575449224,0.537847887455802,0.190058479532164,0.0610275974498378,0.583333333333333,0.207663182566606,69.725625,112.966709462635
"Northland Lumberjacks",0.187155606690093,0.0719829256500358,0.547070234940272,0.175,0.0719829256500358,0.7,0.244741947210122,69.4609166666667,112.293364014056
"Northwest Indian Eagles",0.179210892012976,0.0956254766276087,0.489683351897485,0.182864450127877,0.0958675228690087,0.705357142857143,0.250030107431903,78.3600140056022,111.041735083898
"Northwest Nazarene Nw Nazarene",0.184864222656647,0.0568812992789684,0.426609744592263,0.193548387096774,0.127982923377679,0.833333333333333,0.312847146034326,70.3218817204301,110.918533593988
"Northwest University Eagles",0.163285550719852,0.109252753220139,0.517466630019768,0.0647058823529412,0.0134092695232022,0.166666666666667,0.230529758039315,73.5530947484486,103.394396152228
"Northwestern State Demons",0.271063166399637,0.0934082550633017,0.481961667395649,0.304849461285903,0.149839856943597,0.645063443679382,0.190874037513895,69.1973254067048,118.714698331608
"Northwestern Wildcats",0.279918508800379,0.126004946859693,0.487909406406086,0.250989063933119,0.130371151184401,0.751498020940466,0.136868393563986,64.5988273449352,116.107240681454
"Northwood (MI) Timberwolves",0.348475091023803,0.0454532727422352,0.590892545649057,0.365853658536585,0.0909065454844704,0.75,0.181813090968941,66.0018480300187,125.754054586851
"Notre Dame (MD) Gators",0.203060410472115,0.0870258902023352,0.623685546450069,0.13953488372093,0.0725215751686127,0.7,0.145043150337225,68.945,113.133657263036
"Notre Dame Fighting Irish",0.230602575054041,0.118314616537723,0.510586681744375,0.282434215789447,0.120445659056188,0.731599505221093,0.194882985123436,64.2899148650007,117.483251751576
"Oak Hills Christian",0.0720784790479874,0.0144156958095975,0.619874919812692,0.0697674418604651,0.0216235437143962,0.333333333333333,0.331561003620742,69.3688333333333,105.955364200542
"Oakland City Mighty Oaks",0.178271865221153,0.0683553543974392,0.499089381673099,0.183080808080808,0.106224771209936,0.586134453781513,0.274136126878205,73.0254372764916,112.607749937983
"Oakland Golden Grizzlies",0.266497374674991,0.130986410281416,0.492367031700127,0.299967375095935,0.135937189302075,0.756330088852842,0.161296588306506,67.7448619945793,118.708459426512
"Oakwood Ambassadors",0.210202587896109,0.0247297162230717,0.729526628580614,0.216666666666667,0.0494594324461433,0.75,0.173108013561502,80.8743611111111,118.702637870744
"Occidental Tigers",0.233164013967283,0.0977997973924568,0.523221502228714,0.131670131670132,0.0310510649810585,0.9,0.19783766919427,72.731534562212,108.307404776378
"Oglethorpe Stormy Petrels",0.100887042573531,0.0882761622518393,0.517046093189344,0.130434782608696,0.138719683538605,0.636363636363636,0.252217606433827,79.2966053511706,109.714658798715
"Ohio Bobcats",0.271097944930904,0.132695388276975,0.485484666395678,0.284522342295344,0.139377126659289,0.738974716468509,0.143365736822306,67.7356461079373,117.202086308515
"Ohio Christian Trailblazers",0.202658401382846,0.173707201185296,0.521121603555889,0.264705882352941,0.0651402004444861,0.777777777777778,0.173707201185296,69.0817647058823,113.633460775381
